"Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Keywords,IEEE XPLORE Article Number (deprecated),References (deprecated)
J,"RadViz, Star coordinates, Exploratory data analysis, Cluster analysis, Classification, Outlier detection",7192699,5652433;729568;663916;6634131;6875998;4658161
J,"linguistics, natural language processing, semantics, color names, categorical color, Google n-grams, WordNet, XKCD",7192709,
J,"Data physicalization, physical visualization, psychophysics, experiment, physical variable",7194845,6327257;6634103;6327283;6634126;4376134;6888482;6876021
J,"Euler diagrams, Boundary Improvement, Force-Directed Approaches",7192693,6064991;6634104;5290706;6876017;5613447
J,"Visual Design, Taxonomies, Illustrative Visualization, Design Methodologies",7192636,6634103;5613455;1532122;6064988;4376133;5613452;1382903;6327280;4658138
J,"Multi-valued attributes, sets, visualization, set visualization, data exploration, interaction, design, scalability",7194854,6064991;6634104;6064996;5290706;4376143;4658148;1382886;4376146;4658145;6876017;5613447;6876026
J,"Visual Ambiguity, Visualization, Node-link diagram, Graph layout, Graph visualization",7192724,4015416;4015425;6327253;5332628;4658147;6327250
J,"Small multiple displays, Visualization selection, Multidimensional data",7192658,5652433;729568;6064985;4015421;5613439;5290704;1249006;4376133;4035766;885086;5332628;5613434;1532142
J,"Information visualization, memorability, recognition, recall, eye-tracking study",7192646,6327282;6634103;6065011;6327245;6064986;6634103;6327247;5653598;6327253;6327280
J,"Weber's law, perception of correlation, log transformation, censored regression, Bayesian methods",7192661,6875978
J,"Survey, evaluation, guidelines, parallel coordinates",7192677,6875958;6064997;809866;6875978;1173157;6634108;1532138;5290704;1382895;1382884;6065022;663867
J,"Text highlighting techniques, visual document analytics, text annotation, crowdsourced study",7192718,6327290;4389004;6875959;4376133;6064990;5290723;6102453;528686
J,"Network visualization, graph drawing, power graph, optimization, large-neighborhood search",7192733,4658137;6634098;4015435;5290700;1249009;7192690;6327253
J,"Graph layout, orthogonal layout, automatic layout algorithms, user-generated layout, graph-drawing aesthetics",7192690,4015416;6327251;6634098;4015435;5290700;4658145;4015425;6327253;4658147
J,"Sensemaking model, information visualization, novice users, grounded theory, qualitative study",7192668,6634103;6875906;5613431;6102435;6876022;5613437;6875967;5613452;4376144
J,"Bayesian Reasoning, Visualization, Spatial Ability, Individual Differences",7192720,6875913;5653587;6064988;6634182;6327259;5613452;1532836
J,"Design study, design methodologies, time series data, task and requirements analysis, coordinated and multiple views",7225156,6064996;6634168;4658136;6634166;6634146;5613429;4376151;6065017;6876000;6875995;5290695;6065016;6327248;801851;1532122
J,"Visualization evaluation, radial layout design, composite indicator visualization, experiment",7192648,5613430;4658146
J,"Multivariate Projections, Star Coordinates, Radial Visualization, High-dimensional Data",7192684,5652433;6102437;6064985;663916;6065024;6634131;5613468;4035766;1532142
